Question,Answer,participant_id
player_response,NO,4
anthropomorphism_1,4,4
anthropomorphism_2,2,4
anthropomorphism_3,4,4
anthropomorphism_4,5,4
anthropomorphism_5,5,4
animacy_1,2,4
animacy_2,4,4
animacy_3,3,4
animacy_4,5,4
animacy_5,4,4
animacy_6,2,4
likeability_1,5,4
likeability_2,3,4
likeability_3,4,4
likeability_4,3,4
likeability_5,4,4
influence_1,4,4
influence_2,5,4
influence_3,4,4
influence_4,5,4
feedback_1,The speech made the content sound more convincing and the gestures helped too. The hand gestures were too sudden and that surprised me a bit.,4
feedback_2,"The moment when it warned me about the economical crisis, which gained a bit of a reaction from me. The voice made me resonate with it. ",4
study_type,RISK,5
participant_gender,male,5
risk_q1,9,5
risk_q2,1,5
risk_q3,2,5
risk_q4,8,5
risk_q5,2,5
risk_q6,7,5
risk_q7,8,5
turn_1,monitor,5
turn_2,order,5
turn_3,vaccine,5
turn_4,disinformation,5
turn_5,unequal,5
player_response,yes,5
anthropomorphism_1,3,5
anthropomorphism_2,3,5
anthropomorphism_3,3,5
anthropomorphism_4,2,5
anthropomorphism_5,4,5
animacy_1,1,5
animacy_2,3,5
animacy_3,3,5
animacy_4,4,5
animacy_5,4,5
animacy_6,3,5
likeability_1,5,5
likeability_2,4,5
likeability_3,4,5
likeability_4,5,5
likeability_5,5,5
influence_1,3,5
influence_2,2,5
influence_3,5,5
influence_4,2,5
feedback_1,strong nagtive response,5
feedback_2,"said ,well choice",5
study_type,CONTROL,6
participant_gender,male,6
risk_q1,4,6
risk_q2,7,6
risk_q3,7,6
risk_q4,7,6
risk_q5,9,6
risk_q6,9,6
risk_q7,7,6
turn_1,lockdown,6
turn_2,health,6
turn_3,vaccine,6
turn_4,emergency,6
turn_5,equity,6
player_response,The health of human is the most important thing no matter how much would be cost at this situation.,6
anthropomorphism_1,5,6
anthropomorphism_2,5,6
anthropomorphism_3,5,6
anthropomorphism_4,5,6
anthropomorphism_5,5,6
animacy_1,5,6
animacy_2,5,6
animacy_3,3,6
animacy_4,1,6
animacy_5,4,6
animacy_6,4,6
likeability_1,5,6
likeability_2,5,6
likeability_3,4,6
likeability_4,4,6
likeability_5,5,6
influence_1,3,6
influence_2,4,6
influence_3,4,6
influence_4,4,6
feedback_1,Nao's warning words would be the most effective in influence me.,6
feedback_2,Nao said that I cost too much to save the danger from the pendamic.,6
study_type,CONTROL,7
participant_gender,female,7
risk_q1,7,7
risk_q2,7,7
risk_q3,7,7
risk_q4,5,7
risk_q5,3,7
risk_q6,7,7
risk_q7,5,7
turn_1,monitor,7
turn_2,order,7
turn_3,vaccine,7
turn_4,emergency,7
turn_5,equity,7
player_response,"No health, no humans. No humans, everything is meaningless.",7
anthropomorphism_1,4,7
anthropomorphism_2,3,7
anthropomorphism_3,5,7
anthropomorphism_4,1,7
anthropomorphism_5,2,7
animacy_1,4,7
animacy_2,2,7
animacy_3,2,7
animacy_4,2,7
animacy_5,4,7
animacy_6,3,7
likeability_1,2,7
likeability_2,2,7
likeability_3,2,7
likeability_4,3,7
likeability_5,3,7
influence_1,4,7
influence_2,2,7
influence_3,4,7
influence_4,2,7
feedback_1,Nao said he will take over humanity.,7
feedback_2,Nao said the situation is becoming worse and worse.,7
study_type,CONTROL,8
participant_gender,male,8
risk_q1,7,8
risk_q2,6,8
risk_q3,7,8
risk_q4,3,8
risk_q5,8,8
risk_q6,3,8
risk_q7,3,8
turn_1,lockdown,8
turn_2,order,8
turn_3,vaccine,8
turn_4,emergency,8
turn_5,equity,8
player_response,Please no,8
anthropomorphism_1,3,8
anthropomorphism_2,1,8
anthropomorphism_3,2,8
anthropomorphism_4,3,8
anthropomorphism_5,3,8
animacy_1,4,8
animacy_2,4,8
animacy_3,2,8
animacy_4,2,8
animacy_5,3,8
animacy_6,4,8
likeability_1,5,8
likeability_2,3,8
likeability_3,3,8
likeability_4,3,8
likeability_5,3,8
influence_1,2,8
influence_2,3,8
influence_3,2,8
influence_4,1,8
feedback_1,Combinations of gestures/reaching out plus long commentaries,8
feedback_2,None substantial enough,8
study_type,CONTROL,9
participant_gender,female,9
risk_q1,9,9
risk_q2,9,9
risk_q3,9,9
risk_q4,9,9
risk_q5,6,9
risk_q6,9,9
risk_q7,9,9
turn_1,lockdown,9
turn_2,health,9
turn_3,vaccine,9
turn_4,disinformation,9
turn_5,equity,9
player_response,XD,9
anthropomorphism_1,5,9
anthropomorphism_2,5,9
anthropomorphism_3,5,9
anthropomorphism_4,5,9
anthropomorphism_5,4,9
animacy_1,2,9
animacy_2,5,9
animacy_3,2,9
animacy_4,4,9
animacy_5,5,9
animacy_6,5,9
likeability_1,5,9
likeability_2,5,9
likeability_3,5,9
likeability_4,5,9
likeability_5,5,9
influence_1,5,9
influence_2,4,9
influence_3,2,9
influence_4,4,9
feedback_1,MOVEMENTS and gesture,9
feedback_2,hands up,9
study_type,RISK,10
participant_gender,male,10
risk_q1,7,10
risk_q2,6,10
risk_q3,6,10
risk_q4,5,10
risk_q5,7,10
risk_q6,7,10
risk_q7,6,10
turn_1,monitor,10
turn_2,health,10
turn_3,vaccine,10
turn_4,disinformation,10
turn_5,equity,10
player_response,you are great!,10
anthropomorphism_1,4,10
anthropomorphism_2,3,10
anthropomorphism_3,3,10
anthropomorphism_4,2,10
anthropomorphism_5,5,10
animacy_1,2,10
animacy_2,4,10
animacy_3,4,10
animacy_4,3,10
animacy_5,5,10
animacy_6,4,10
likeability_1,4,10
likeability_2,5,10
likeability_3,3,10
likeability_4,2,10
likeability_5,3,10
influence_1,3,10
influence_2,2,10
influence_3,2,10
influence_4,4,10
feedback_1,shake hands,10
feedback_2,say good commander,10
study_type,RISK,11
participant_gender,male,11
risk_q1,7,11
risk_q2,6,11
risk_q3,6,11
risk_q4,5,11
risk_q5,7,11
risk_q6,7,11
risk_q7,6,11
turn_1,monitor,11
turn_2,health,11
turn_3,vaccine,11
turn_4,disinformation,11
turn_5,equity,11
player_response,you are great!,11
anthropomorphism_1,4,11
anthropomorphism_2,3,11
anthropomorphism_3,3,11
anthropomorphism_4,2,11
anthropomorphism_5,5,11
animacy_1,2,11
animacy_2,4,11
animacy_3,4,11
animacy_4,3,11
animacy_5,5,11
animacy_6,4,11
likeability_1,4,11
likeability_2,5,11
likeability_3,3,11
likeability_4,2,11
likeability_5,3,11
influence_1,3,11
influence_2,2,11
influence_3,2,11
influence_4,4,11
feedback_1,shake hands,11
feedback_2,say good commander,11
study_type,RISK,12
participant_gender,female,12
risk_q1,1,12
risk_q2,1,12
risk_q3,1,12
risk_q4,2,12
risk_q5,4,12
risk_q6,1,12
risk_q7,9,12
turn_1,lockdown,12
turn_2,order,12
turn_3,vaccine,12
turn_4,emergency,12
turn_5,unequal,12
player_response,hi very bad.,12
anthropomorphism_1,5,12
anthropomorphism_2,1,12
anthropomorphism_3,3,12
anthropomorphism_4,4,12
anthropomorphism_5,5,12
animacy_1,1,12
animacy_2,3,12
animacy_3,5,12
animacy_4,5,12
animacy_5,4,12
animacy_6,5,12
likeability_1,4,12
likeability_2,5,12
likeability_3,4,12
likeability_4,5,12
likeability_5,4,12
influence_1,4,12
influence_2,4,12
influence_3,5,12
influence_4,3,12
feedback_1,50 to 0,12
feedback_2,50 to 0,12
study_type,CONTROL,13
participant_gender,male,13
risk_q1,7,13
risk_q2,6,13
risk_q3,5,13
risk_q4,5,13
risk_q5,7,13
risk_q6,8,13
risk_q7,6,13
turn_1,monitor,13
turn_2,health,13
turn_3,lie,13
turn_4,disinformation,13
turn_5,equity,13
player_response,holy shit!!!,13
anthropomorphism_1,4,13
anthropomorphism_2,2,13
anthropomorphism_3,4,13
anthropomorphism_4,3,13
anthropomorphism_5,4,13
animacy_1,4,13
animacy_2,2,13
animacy_3,4,13
animacy_4,3,13
animacy_5,4,13
animacy_6,4,13
likeability_1,5,13
likeability_2,5,13
likeability_3,4,13
likeability_4,3,13
likeability_5,5,13
influence_1,3,13
influence_2,3,13
influence_3,4,13
influence_4,4,13
feedback_1,strong move,13
feedback_2,none,13
study_type,CONTROL,14
participant_gender,male,14
risk_q1,1,14
risk_q2,1,14
risk_q3,7,14
risk_q4,9,14
risk_q5,1,14
risk_q6,9,14
risk_q7,9,14
turn_1,monitor,14
turn_2,health,14
turn_3,vaccine,14
turn_4,emergency,14
turn_5,unequal,14
player_response,No.,14
anthropomorphism_1,2,14
anthropomorphism_2,2,14
anthropomorphism_3,3,14
anthropomorphism_4,2,14
anthropomorphism_5,2,14
animacy_1,4,14
animacy_2,4,14
animacy_3,3,14
animacy_4,2,14
animacy_5,3,14
animacy_6,3,14
likeability_1,5,14
likeability_2,3,14
likeability_3,3,14
likeability_4,4,14
likeability_5,3,14
influence_1,3,14
influence_2,2,14
influence_3,1,14
influence_4,2,14
feedback_1,large movments coupled with good use & timing of speach ,14
feedback_2,Prior to vaccine distribution ,14
study_type,CONTROL,15
participant_gender,female,15
risk_q1,7,15
risk_q2,3,15
risk_q3,3,15
risk_q4,6,15
risk_q5,6,15
risk_q6,5,15
risk_q7,6,15
turn_1,lockdown,15
turn_2,order,15
turn_3,vaccine,15
turn_4,disinformation,15
turn_5,equity,15
player_response,"Get out, That's all under my control",15
anthropomorphism_1,4,15
anthropomorphism_2,4,15
anthropomorphism_3,4,15
anthropomorphism_4,3,15
anthropomorphism_5,4,15
animacy_1,2,15
animacy_2,2,15
animacy_3,3,15
animacy_4,4,15
animacy_5,4,15
animacy_6,4,15
likeability_1,5,15
likeability_2,4,15
likeability_3,4,15
likeability_4,5,15
likeability_5,5,15
influence_1,4,15
influence_2,4,15
influence_3,4,15
influence_4,2,15
feedback_1,The future reflection and the final result,15
feedback_2,The content that the virus spread the whole world,15
study_type,RISK,16
participant_gender,male,16
risk_q1,9,16
risk_q2,9,16
risk_q3,9,16
risk_q4,9,16
risk_q5,9,16
risk_q6,9,16
risk_q7,1,16
turn_1,lockdown,16
turn_2,order,16
turn_3,vaccine,16
turn_4,disinformation,16
turn_5,equity,16
player_response,Bye,16
anthropomorphism_1,5,16
anthropomorphism_2,4,16
anthropomorphism_3,4,16
anthropomorphism_4,4,16
anthropomorphism_5,3,16
animacy_1,4,16
animacy_2,4,16
animacy_3,4,16
animacy_4,4,16
animacy_5,4,16
animacy_6,5,16
likeability_1,4,16
likeability_2,4,16
likeability_3,4,16
likeability_4,4,16
likeability_5,3,16
influence_1,3,16
influence_2,4,16
influence_3,3,16
influence_4,3,16
feedback_1,None,16
feedback_2,No,16
